date,city,cid,industry,platform,number,amount
202203,嘉義市,I,電信業,無載具,3742,12459732
202203,苗栗縣,K,電子零組件製造業,無載具,531,154434290
202404,嘉義縣,Q,機械設備製造業,無載具,132,5060158
202203,桃園市,H,不動產開發業,使用載具,29,266898
202203,花蓮縣,U,專門設計業,使用載具,29,191879
202203,雲林縣,P,宗教、職業及類似組織,無載具,1400,1527290
202203,金門縣,W,不動產開發業,無載具,149,236865
202404,臺南市,D,電子零組件製造業,無載具,239,144632398
202203,桃園市,H,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,使用載具,50,15292
202404,金門縣,W,專門設計業,無載具,97,86300
202404,屏東縣,T,藥品及醫用化學製品製造業,無載具,3020,8622930
202404,臺南市,D,電信業,無載具,19730,51344807
202404,新北市,F,創作及藝術表演業,使用載具,17263,40971507
202203,新北市,F,產業用機械設備維修及安裝業,無載具,524,1380680
202404,臺南市,D,專門設計業,無載具,1028,67231765
202203,彰化縣,N,電腦程式設計、諮詢及相關服務業,使用載具,13,52075
202203,新竹縣,J,其他化學製品製造業,使用載具,1843,2493942
202203,屏東縣,T,金融服務業,無載具,1006,28780
202203,新北市,F,運輸輔助業,無載具,2099767,231540291
202203,基隆市,C,陸上運輸業,使用載具,2152,649799
202203,臺南市,D,不動產開發業,無載具,11666,560401570
202404,基隆市,C,人力仲介及供應業,無載具,1,214629
202203,高雄市,E,廣告業及市場研究業,使用載具,111,118438
202404,臺南市,D,醫療保健業,無載具,335,6475325
202203,嘉義市,I,批發業,使用載具,18032,23712652
202404,苗栗縣,K,電力及燃氣供應業,使用載具,241509,284585701
202203,澎湖縣,X,陸上運輸業,無載具,6169,5150703
202404,雲林縣,P,租賃業,使用載具,210,335451
202203,宜蘭縣,G,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,使用載具,343,84891
202203,雲林縣,P,行政支援服務業,使用載具,3203,173124
202404,苗栗縣,K,電力及燃氣供應業,無載具,347,310858
202203,新竹縣,J,電子零組件製造業,無載具,3632,7050610590
202404,嘉義市,I,廣播、電視節目編排及傳播業,無載具,62,123487
202203,宜蘭縣,G,運輸輔助業,無載具,266466,16687173
202203,新竹市,O,藥品及醫用化學製品製造業,使用載具,120,1889303
202404,新北市,F,電力及燃氣供應業,無載具,8947,281651789
202203,嘉義縣,Q,陸上運輸業,使用載具,18629,3780748
202203,嘉義縣,Q,廣播、電視節目編排及傳播業,無載具,711,1164448
202203,臺中市,B,租賃業,無載具,10372,57365708
202203,高雄市,E,圖書館、檔案保存、博物館及類似機構,無載具,999,164261
202404,臺北市,A,其他運輸工具及其零件製造業,使用載具,992,1667454
202203,臺中市,B,汽車及其零件製造業,使用載具,48,268023
202404,宜蘭縣,G,出版業,使用載具,1062,502041
202404,臺中市,B,教育業,無載具,23615,144223698
202203,高雄市,E,不動產經營及相關服務業,使用載具,18991,5799135
202203,高雄市,E,基本金屬製造業,使用載具,1269,664420259
202203,嘉義市,I,教育業,使用載具,26,80042
202203,高雄市,E,租賃業,使用載具,1483,2795116
202203,臺北市,A,租賃業,使用載具,818912,491981785
202404,雲林縣,P,個人及家庭用品維修業,無載具,2653,15988043
202404,桃園市,H,其他化學製品製造業,使用載具,5207,19575845
202404,臺東縣,V,運動、娛樂及休閒服務業,使用載具,2057,5248526
202404,宜蘭縣,G,廣告業及市場研究業,使用載具,1,2835
202203,高雄市,E,藥品及醫用化學製品製造業,使用載具,7,58620
202203,澎湖縣,X,租賃業,無載具,608,258299
202203,臺北市,A,金融服務業,使用載具,40075,26604599
202203,花蓮縣,U,航空運輸業,無載具,47,5678
202203,彰化縣,N,郵政及快遞業,無載具,1257,628509
202203,新北市,F,保全及偵探業,無載具,709,39091067
202404,南投縣,M,倉儲業,使用載具,26,8030
202404,桃園市,H,飲料製造業,無載具,1290,1434991
202203,彰化縣,N,石油及煤製品製造業,無載具,1,161
202404,桃園市,H,租賃業,使用載具,788361,66555047
202404,桃園市,H,租賃業,無載具,80166,61207211
202404,臺北市,A,不動產開發業,無載具,531001,16343999241
202404,高雄市,E,運動、娛樂及休閒服務業,無載具,105200,98631339
202404,桃園市,H,專門設計業,無載具,14226,213935214
202404,臺中市,B,電力設備及配備製造業,無載具,2893,18259082
202404,宜蘭縣,G,農、牧業,無載具,2536,1643391
202203,屏東縣,T,食品及飼品製造業,使用載具,7006,2933103
202203,嘉義市,I,廣告業及市場研究業,無載具,4,346500
202404,臺東縣,V,航空運輸業,無載具,620,306566
202203,臺北市,A,郵政及快遞業,無載具,7702,3372164
202404,花蓮縣,U,航空運輸業,無載具,113,15730
202203,花蓮縣,U,批發業,使用載具,23919,34449185
202404,新竹市,O,食品及飼品製造業,無載具,72966,22821364
202203,臺南市,D,成衣及服飾品製造業,使用載具,227,653446
202404,臺南市,D,金融服務業,使用載具,2757,1104579
202203,澎湖縣,X,批發業,使用載具,1218,1020649
202404,基隆市,C,醫療保健業,使用載具,190,80941
202404,臺南市,D,保全及偵探業,使用載具,789,6658525
202203,高雄市,E,航空運輸業,無載具,5336,2983865
202404,嘉義縣,Q,農、牧業,無載具,1803,4661793
202203,臺北市,A,基本金屬製造業,無載具,188,419708711
202203,臺東縣,V,影片及電視節目業；聲音錄製及音樂發行業,無載具,3585,606742
202203,新竹縣,J,其他製造業,無載具,779,2428416
202404,新北市,F,批發業,無載具,3110408,6167322880
202203,高雄市,E,不動產開發業,無載具,181636,4453239122
202203,宜蘭縣,G,電力設備及配備製造業,無載具,39,11209
202404,臺中市,B,石油及煤製品製造業,無載具,92493,536158220
202404,臺北市,A,不動產經營及相關服務業,無載具,103773,5375557491
202203,花蓮縣,U,廣告業及市場研究業,無載具,339,120039
202203,臺中市,B,不動產經營及相關服務業,使用載具,97838,113509878
202203,臺中市,B,電力及燃氣供應業,無載具,7519,956505539
202203,桃園市,H,未分類其他服務業,無載具,12342,38714148
202203,臺南市,D,資訊服務業,使用載具,582,1893671
202404,高雄市,E,紡織業,無載具,707,293207628
202203,桃園市,H,未分類其他服務業,使用載具,2912,6474816
202404,屏東縣,T,漁業,無載具,1,12235
202203,新竹縣,J,專門營造業,無載具,165,79686
202203,雲林縣,P,廢棄物清除、處理及資源回收處理業,無載具,233,1391254
202404,新北市,F,出版業,無載具,136432,232725860
202203,桃園市,H,食品及飼品製造業,使用載具,184381,40983800
202404,新北市,F,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,使用載具,299,197139
202404,苗栗縣,K,宗教、職業及類似組織,無載具,9,41550
202203,臺中市,B,零售業,使用載具,19253158,7470826746
202404,臺南市,D,專門營造業,無載具,1599,12975978
202404,苗栗縣,K,電信業,使用載具,385906,251918884
202404,新竹縣,J,紙漿、紙及紙製品製造業,無載具,71,752351
202203,雲林縣,P,保全及偵探業,無載具,172,2182084
202404,新北市,F,汽車及其零件製造業,無載具,48,447850
202203,嘉義市,I,未分類其他服務業,使用載具,186,919575
202203,苗栗縣,K,其他化學製品製造業,無載具,4568,45096108
202404,新竹市,O,運輸輔助業,使用載具,171188,14149410
202404,臺北市,A,成衣及服飾品製造業,無載具,1821,4510596
202404,新竹市,O,電力設備及配備製造業,使用載具,327,235730
202404,宜蘭縣,G,不動產開發業,無載具,114,9359947
202203,基隆市,C,不動產經營及相關服務業,無載具,2972,530716
202404,雲林縣,P,郵政及快遞業,無載具,4001,4016235
202203,苗栗縣,K,成衣及服飾品製造業,使用載具,79,154138
202404,桃園市,H,石油及煤製品製造業,無載具,6215,4650037
202404,嘉義市,I,未分類其他服務業,無載具,2449,4412923
202203,桃園市,H,電力設備及配備製造業,使用載具,1536,2125572
202203,新竹縣,J,農、牧業,使用載具,3116,1149058
202203,新竹市,O,其他化學製品製造業,無載具,35,282466
202404,臺南市,D,出版業,使用載具,543,2269398
202404,臺南市,D,不動產開發業,無載具,11077,996176754
202203,桃園市,H,資訊服務業,無載具,11788,6081178
202203,新竹市,O,餐飲業,使用載具,645373,148288724
202404,臺北市,A,石油及煤製品製造業,無載具,84820,40572446
202404,桃園市,H,電力設備及配備製造業,無載具,5313,218621310
202203,臺北市,A,廣告業及市場研究業,無載具,46110,295383593
202404,臺中市,B,醫療保健業,使用載具,1235,928071
202404,臺南市,D,金屬製品製造業,無載具,430,341888976
202203,桃園市,H,證券期貨及金融輔助業,無載具,8316,1364447
202203,新竹縣,J,建築物及綠化服務業,無載具,1,95550
202203,新竹縣,J,行政支援服務業,使用載具,55868,20279573
202203,苗栗縣,K,成衣及服飾品製造業,無載具,387,695066
202404,嘉義縣,Q,資訊服務業,無載具,27,605601
202404,澎湖縣,X,教育業,使用載具,106,349629
202203,彰化縣,N,運輸輔助業,使用載具,46219,4090201
202203,澎湖縣,X,未分類其他服務業,使用載具,199,416202
202404,新北市,F,租賃業,使用載具,6718,20291357
202203,新竹市,O,用水供應業,使用載具,95058,35816026
202404,新竹市,O,郵政及快遞業,無載具,1288,555764
202203,屏東縣,T,藥品及醫用化學製品製造業,使用載具,78,139180
202404,新竹縣,J,零售業,使用載具,7261971,1756322807
202404,花蓮縣,U,其他社會工作服務業,使用載具,5,21410
202203,高雄市,E,藥品及醫用化學製品製造業,無載具,1402,14478265
202203,高雄市,E,其他製造業,使用載具,240,251191
202203,新北市,F,零售業,使用載具,26061064,8155557746
202203,臺中市,B,不動產經營及相關服務業,無載具,174842,1432703290
202404,新竹縣,J,住宿業,使用載具,4239,7584491
202203,金門縣,W,個人及家庭用品維修業,無載具,6,14700
202203,桃園市,H,電力設備及配備製造業,無載具,4241,272774449
202404,臺東縣,V,電腦、電子產品及光學製品製造業,使用載具,37,216368
202203,新竹市,O,印刷及資料儲存媒體複製業,使用載具,1964,1545590
202404,桃園市,H,專門設計業,使用載具,16259,28390950
202203,新竹縣,J,非金屬礦物製品製造業,無載具,44,1392118
202404,臺北市,A,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,使用載具,837,1515312
202203,苗栗縣,K,農、牧業,無載具,15665,10927263
202404,臺中市,B,企業總管理機構及管理顧問業,使用載具,30530,21645662
202404,新竹縣,J,非金屬礦物製品製造業,無載具,20,1240365
202203,彰化縣,N,餐飲業,使用載具,471575,106020860
202203,宜蘭縣,G,電腦、電子產品及光學製品製造業,無載具,13,136508
202203,桃園市,H,電子零組件製造業,無載具,7056,29918930181
202404,高雄市,E,建築物及綠化服務業,無載具,8049,9556592
202203,臺北市,A,汽車及其零件製造業,使用載具,553,5038889
202404,苗栗縣,K,木竹製品製造業,使用載具,374,351080
202203,連江縣,Z,水上運輸業,無載具,406,453313
202404,苗栗縣,K,塑膠製品製造業,無載具,6,105870
202203,臺南市,D,藥品及醫用化學製品製造業,使用載具,14,69733
202203,宜蘭縣,G,證券期貨及金融輔助業,無載具,1782,1089608
202203,彰化縣,N,創作及藝術表演業,無載具,4833,2285043
202404,新北市,F,教育業,無載具,20110,116544336
202404,屏東縣,T,行政支援服務業,使用載具,4,2198
202404,新北市,F,公共行政及國防；強制性社會安全,使用載具,39,19812
202203,嘉義市,I,倉儲業,使用載具,27,24652
202404,嘉義市,I,電腦、電子產品及光學製品製造業,使用載具,1,2700
202203,屏東縣,T,食品及飼品製造業,無載具,80109,725905172
202404,雲林縣,P,專門營造業,無載具,137,4182089
202203,嘉義市,I,食品及飼品製造業,使用載具,147,37415
202203,臺南市,D,金融服務業,使用載具,776,341434
202404,基隆市,C,產業用機械設備維修及安裝業,無載具,16,109700
202203,基隆市,C,石油及煤製品製造業,使用載具,2434,676080
202203,苗栗縣,K,皮革、毛皮及其製品製造業,無載具,35,7175824
202404,雲林縣,P,運動、娛樂及休閒服務業,無載具,70392,22718641
202203,高雄市,E,餐飲業,無載具,8984336,1928510188
202203,高雄市,E,陸上運輸業,無載具,37390,26924232
202404,高雄市,E,其他化學製品製造業,無載具,6929,24235933
202203,苗栗縣,K,廢棄物清除、處理及資源回收處理業,無載具,8,148405
202203,臺北市,A,印刷及資料儲存媒體複製業,使用載具,5265,16371733
202203,新竹市,O,橡膠製品製造業,無載具,35,16278478
202203,高雄市,E,紡織業,使用載具,249,894636
202203,連江縣,Z,餐飲業,無載具,15186,3195194
202203,新竹縣,J,研究發展服務業,無載具,1228,55548616
202203,臺北市,A,專門設計業,無載具,12541,34143798
202404,澎湖縣,X,保全及偵探業,無載具,6,27166
202203,高雄市,E,住宿業,無載具,122027,306482270
202203,彰化縣,N,宗教、職業及類似組織,無載具,8271,6701562
202203,臺中市,B,建築、工程服務及技術檢測、分析服務業,無載具,30,1847459
202203,彰化縣,N,資訊服務業,使用載具,76,11400
202404,南投縣,M,零售業,無載具,3539567,1433121815
202203,高雄市,E,教育業,使用載具,6100,19895576
202404,苗栗縣,K,汽車及其零件製造業,無載具,693,205087
202404,屏東縣,T,餐飲業,使用載具,842632,207812389
